,행복,행복count,행복sims,열정,열정count,열정sims,두려움,두려움count,두려움sims,분노,분노count,분노sims,우울,우울count,우울sims,슬픔,슬픔count,슬픔sims
67,지니다,1,0.0,숲,2,0.17253291606903076,학회,1,-0.13597741723060608,집중,2,0.13649754226207733,등록,1,-0.13540853559970856,좌절,1,0.30799272656440735
68,기여,1,0.22406168282032013,사막,2,0.1144767552614212,정의,1,0.03119554929435253,보통,2,-0.06561672687530518,활동,1,0.14736327528953552,억,1,-0.0428149551153183
69,여건,1,0.18714697659015656,자리,2,-0.02545180171728134,촉발,1,0.14042045176029205,정도,2,-0.002435147762298584,추가,1,0.039426177740097046,누르다,1,0.0
70,되다,1,0.0,걸다,2,0.0,생리학,1,0.119622141122818,작동,1,0.033874183893203735,일,1,-0.07573171705007553,고립,1,0.0712408497929573
71,행복감,1,0.0,당신,2,0.3540433347225189,변화,1,0.1350039392709732,원리,1,-0.013762184418737888,생활,1,0.19778572022914886,가능성,1,0.14029452204704285
72,증가,1,0.11175038665533066,집중,2,0.08076216280460358,심장,1,0.24947084486484528,내면,1,0.16330108046531677,긍정,1,0.31747257709503174,상태,1,0.1550358235836029
73,지나치다,1,0.0,침묵,2,0.3842080235481262,박동,1,0.026418056339025497,비다,1,0.0,친구,1,0.24323582649230957,커지다,1,0.0
74,조금,1,0.13420134782791138,스케줄,2,0.03701704367995262,주변,1,0.06345437467098236,소모,1,0.1558714210987091,시간,1,0.16585001349449158,나르다,1,0.0
75,해보다,1,0.0,넣다,2,0.0,내장,1,-0.06295137852430344,줄이다,1,0.0,근본,1,0.16552071273326874,지원,1,-0.1764390468597412
76,무수,1,0.16993188858032227,온몸,2,0.16179139912128448,쏠리다,1,0.0,육체,1,0.24559275805950165,이루다,1,0.0,밀다,1,0.0
77,방해,1,0.10276354849338531,노력,2,0.3447059392929077,혈액,1,0.1888880431652069,공격,1,0.37117671966552734,집착,1,0.4136826992034912,살아가다,1,0.0
78,경우,1,0.013252165168523788,핵심,2,0.08908432722091675,흐름,1,0.16819533705711365,처리,1,0.05443749576807022,여러분,1,0.08512706309556961,의지,1,0.28965482115745544
79,평가절하,1,0.0,시간관리,2,0.0,전환,1,-0.1376970112323761,상황,1,0.1678098887205124,맑은,1,0.19585594534873962,꺾다,1,0.0
80,거나,1,0.08206954598426819,초점,2,0.21490319073200226,근육,1,0.19911620020866394,지속,1,-0.04237699881196022,날,1,0.07072341442108154,놓다,1,0.0
81,더,1,0.0037553980946540833,주변,2,0.04028845578432083,긴장,1,0.3880845904350281,부신피질,1,0.0,불행,1,0.5066936016082764,현실,1,0.36464041471481323
82,상황,1,0.1391434520483017,되어다,2,0.0,포함,1,-0.13236135244369507,원래,1,-0.06496957689523697,먹구름,1,0.0,항상,1,0.3657963275909424
83,후회,1,0.4115821421146393,내면,2,0.3833976686000824,예일대,1,0.0,염증,1,0.2293434739112854,끌다,1,0.0,최고,1,-0.09482716023921967
84,자책,1,0.054390523582696915,웃음,2,0.5033537149429321,지능,1,0.20394738018512726,이유,1,0.12473791837692261,들이다,1,0.0,바르다,1,0.0
85,자존감,1,0.0,살아가다,2,0.0,센터,1,-0.1868131309747696,실제,1,-0.008416663855314255,속,1,0.2000914216041565,해보다,1,0.0
86,이처럼,1,0.1446613073348999,어쩌면,1,0.0747162252664566,부소,1,0.0,입지,1,0.10847503691911697,갇히다,1,0.0,않다,1,0.0
87,감소,1,0.10338553786277771,세상,1,0.3466576039791107,로빈,1,0.04850342869758606,오히려,1,0.3860432207584381,결코,1,0.12867462635040283,즐기다,1,0.0
88,경향,1,0.14616280794143677,금방,1,0.07170138508081436,신호,1,0.04463040828704834,면역계,1,0.0,패턴,1,0.20028480887413025,활동,1,0.01689438335597515
89,,0,0.0,지치다,1,0.0,보내다,1,0.0,교란,1,0.17812611162662506,요법,1,0.14364656805992126,찾다,1,0.0
90,,0,0.0,무기,1,0.016454748809337616,전세계,1,0.021792855113744736,빠트립니,1,0.0,시기,1,-0.016856100410223007,가족,1,0.3350224792957306
91,,0,0.0,그리다,1,0.0,보편,1,0.06198287010192871,통제,1,0.16155600547790527,도움,1,0.009144550189375877,친구,1,0.3909987807273865
92,,0,0.0,개인,1,0.26821592450141907,무언가,1,0.32089245319366455,제대로,1,0.015094785019755363,관점,1,0.18643814325332642,보내다,1,0.0
93,,0,0.0,타오르다,1,0.0,판단,1,0.2141512930393219,정신,1,0.13236381113529205,부정,1,0.18556395173072815,떠나가다,1,0.0
94,,0,0.0,캔들,1,0.0,대신,1,-0.054073601961135864,차리다,1,0.0,악순환,1,0.30833715200424194,보다,1,-0.03470610827207565
95,,0,0.0,꺼지다,1,0.0,바라보다,1,0.0,계속,1,0.13690227270126343,출구,1,-0.06181905418634415,듯이,1,0.17837853729724884
96,,0,0.0,싶다,1,0.0,방식,1,-0.04678628221154213,경보,1,0.02839481458067894,경로,1,-0.028327997773885727,목표,1,-0.056057654321193695
97,,0,0.0,때로는,1,0.1678667664527893,연습,1,0.10507744550704956,음,1,0.015475768595933914,일어나다,1,0.0,달성,1,-0.0891508013010025
98,,0,0.0,잠시,1,-0.0069054290652275085,해보다,1,0.0,울리다,1,0.0,아침,1,0.18585264682769775,우울함,1,0.0
99,,0,0.0,끄다,1,0.0,가치판단,1,0.0,정보,1,0.035004206001758575,눈,1,0.28080612421035767,건지다,1,0.0
100,,0,0.0,식히다,1,0.0,조언,1,0.3783085346221924,정글,1,0.01165219210088253,뜨다,1,0.0,도와주다,1,0.0
101,,0,0.0,은,1,0.12921081483364105,다음,1,-0.023248065263032913,초원,1,0.015811987221240997,심장,1,0.25416263937950134,상실,1,0.11249444633722305
102,,0,0.0,항,1,-0.1176019012928009,가치,1,0.2311466932296753,태도,1,0.39946916699409485,꺼지다,1,0.0,영양,1,0.12120507657527924
103,,0,0.0,내뿜,1,-0.008398931473493576,가지,1,0.04778287187218666,숨다,1,0.0,채,1,0.08156751096248627,섭취,1,0.10697866976261139
104,,0,0.0,불,1,0.029724545776844025,평가,1,0.18555493652820587,찾아내다,1,0.0,마음,1,0.3930853307247162,운동,1,0.05548263341188431
105,,0,0.0,붙이다,1,0.0,휴식,1,0.20894677937030792,도움,1,0.1459476351737976,괴롭히다,1,0.0,잊어버리다,1,0.0
106,,0,0.0,불타,1,0.046883005648851395,수면,1,0.19021105766296387,돼다,1,0.0,재발,1,0.22721000015735626,만들다,1,0.0
107,,0,0.0,오르다,1,0.0,즐거움,1,0.5425324440002441,요즘,1,0.0007302090525627136,피하,1,0.10901004076004028,건강,1,0.26232588291168213
108,,0,0.0,달다,1,0.0,담당,1,-0.14952491223812103,시대,1,-0.06350534409284592,싶다,1,0.0,챙기다,1,0.0
109,,0,0.0,제일,1,0.04089874401688576,신체,1,0.30811500549316406,부풀리다,1,0.0,자기,1,0.2200927734375,생활,1,0.25557923316955566
110,,0,0.0,누구,1,0.11618468165397644,시스템,1,-0.03918178379535675,역할,1,0.05900375917553902,목적,1,0.08396591246128082,복원,1,-0.11157695949077606
111,,0,0.0,알,1,0.01639503613114357,부,1,-0.14866679906845093,아주,1,0.03881602734327316,구체,1,0.08675843477249146,질환,1,0.18106061220169067
112,,0,0.0,문제,1,0.06553292274475098,교감,1,0.15974600613117218,상상,1,0.25025179982185364,주어,1,-0.024242160841822624,보호,1,-0.04170134663581848
113,,0,0.0,방법,1,0.1781805157661438,신경계,1,0.12641410529613495,이어지다,1,0.0,오후,1,0.004948556423187256,,0,0.0
114,,0,0.0,동원,1,-0.029275231063365936,활성화,1,-0.015675636008381844,겉잡,1,0.0,혼자,1,0.13333193957805634,,0,0.0
115,,0,0.0,취해,1,0.0,주다,1,0.0,화가,1,0.1421596109867096,책,1,0.12763676047325134,,0,0.0
116,,0,0.0,하루,1,0.03875640779733658,상태,1,0.18203797936439514,단치,1,0.0,사고,1,0.12404750287532806,,0,0.0
117,,0,0.0,하늘,1,0.26007652282714844,더,1,0.06027503311634064,놀라다,1,0.0,여행,1,0.1361350268125534,,0,0.0
118,,0,0.0,땅,1,0.16210536658763885,가슴,1,0.35341882705688477,짜증,1,0.2562673091888428,예약,1,-0.07157381623983383,,0,0.0
119,,0,0.0,차이,1,0.0638934001326561,복식,1,-0.10496056079864502,내다,1,0.0,거나,1,0.10862964391708374,,0,0.0
120,,0,0.0,세우다,1,0.0,비교,1,-0.02725483663380146,버럭,1,0.0,누군가,1,0.12285195291042328,,0,0.0
121,,0,0.0,달려가다,1,0.0,별로,1,-0.0009778104722499847,곤,1,0.15850481390953064,만나다,1,0.0,,0,0.0
122,,0,0.0,능률,1,0.3041994869709015,배,1,-0.050230275839567184,스스로,1,0.42271628975868225,제한,1,0.05709042772650719,,0,0.0
123,,0,0.0,떨어지다,1,0.0,손,1,0.06473714113235474,키우다,1,0.0,설정,1,0.18106618523597717,,0,0.0
124,,0,0.0,질,1,0.15783897042274475,얹다,1,0.0,덧,1,0.0004908069968223572,건강,1,0.28249433636665344,,0,0.0
125,,0,0.0,확,1,0.004968935623764992,복부,1,0.18926846981048584,것임,1,0.0,참다,1,0.0,,0,0.0
126,,0,0.0,치의,1,0.05181058496236801,위아래,1,-0.035926543176174164,잊다,1,0.0,무너지다,1,0.0,,0,0.0
127,,0,0.0,빡센,1,0.0,움직이다,1,0.0,말다,1,0.0,버리다,1,0.0,,0,0.0
128,,0,0.0,지키다,1,0.0,려움,1,0.0,들다,1,0.0,가장,1,0.049776457250118256,,0,0.0
129,,0,0.0,사로잡히다,1,0.0,또,1,0.006576253101229668,일보,1,0.03662487864494324,원인,1,0.19124600291252136,,0,0.0
130,,0,0.0,그것,1,0.3215733468532562,다른,1,0.10593806952238083,가슴,1,0.23420193791389465,중,1,-0.014698604121804237,,0,0.0
